char	texx	texy	texw	texh	glyphwidth	glyphheight	glyphoffsx	glyphoffsy	glyphadv
32	244	223	0	0	0.000000	0.000000	0.000000	0.000000	8.890625
33	154	167	13	31	4.750000	22.906250	2.875000	22.906250	10.656250
34	157	223	20	16	11.828125	8.140625	1.750000	22.906250	15.171875
35	0	73	25	32	17.140625	23.687500	0.281250	23.296875	17.796875
36	228	0	23	36	15.281250	27.953125	1.093750	24.750000	17.796875
37	62	38	34	32	25.562500	24.218750	1.390625	23.296875	28.453125
38	155	38	29	32	21.187500	23.890625	1.406250	23.296875	23.109375
39	177	223	13	16	4.781250	8.140625	1.437500	22.906250	7.609375
40	108	0	16	38	7.953125	30.031250	1.671875	23.296875	10.656250
41	92	0	16	38	7.953125	30.031250	1.046875	23.296875	10.656250
42	125	223	19	19	11.328125	10.921875	0.437500	23.296875	12.453125
43	77	223	24	24	16.015625	16.015625	1.328125	19.312500	18.687500
44	144	223	13	18	4.750000	9.500000	1.828125	4.390625	8.890625
45	215	223	17	12	8.625000	4.390625	1.796875	10.500000	10.656250
46	232	223	12	12	4.390625	4.390625	2.296875	4.390625	8.890625
47	122	73	17	32	8.968750	23.687500	-0.046875	23.296875	8.890625
58	65	223	12	25	4.390625	16.593750	3.140625	16.593750	10.656250
59	204	167	13	30	4.750000	21.703125	2.656250	16.593750	10.656250
60	179	198	24	25	15.703125	17.406250	1.484375	20.015625	18.687500
61	101	223	24	19	16.015625	10.968750	1.328125	16.781250	18.687500
62	227	198	24	25	15.718750	17.390625	1.484375	19.984375	18.687500
63	0	167	24	31	16.437500	23.140625	1.656250	23.140625	19.546875
64	0	0	38	38	30.140625	30.046875	0.953125	23.312500	31.203125
65	194	73	31	31	22.984375	22.906250	0.000000	22.906250	23.109375
66	145	105	27	31	19.187500	22.906250	2.343750	22.906250	23.109375
67	184	38	28	32	19.953125	23.687500	1.515625	23.296875	23.109375
68	172	105	27	31	19.203125	22.906250	2.312500	22.906250	23.109375
69	78	136	25	31	17.421875	22.906250	2.328125	22.906250	21.343750
70	200	136	24	31	15.703125	22.906250	2.359375	22.906250	19.546875
71	126	38	29	32	21.421875	23.687500	1.531250	23.296875	24.890625
72	226	105	26	31	18.312500	22.906250	2.343750	22.906250	23.109375
73	167	167	13	31	4.625000	22.906250	2.187500	22.906250	8.890625
74	71	167	23	31	14.656250	23.296875	0.546875	22.906250	17.796875
75	58	105	29	31	20.656250	22.906250	2.390625	22.906250	23.109375
76	24	167	24	31	16.125000	22.718750	2.453125	22.718750	19.546875
77	225	73	30	31	22.125000	22.906250	2.265625	22.906250	26.656250
79	96	38	30	32	22.218750	23.687500	1.390625	23.296875	24.890625
80	52	136	26	31	17.546875	22.906250	2.328125	22.906250	21.343750
81	31	38	31	34	23.078125	25.593750	1.390625	23.296875	24.890625
82	116	105	29	31	20.593750	22.906250	2.343750	22.906250	23.109375
83	212	38	27	32	18.625000	23.703125	1.156250	23.296875	21.343750
84	0	136	26	31	18.203125	22.906250	0.687500	22.906250	19.546875
85	26	136	26	31	18.265625	23.296875	2.296875	22.906250	23.109375
86	87	105	29	31	21.328125	22.906250	-0.015625	22.906250	21.343750
87	156	73	38	31	30.062500	22.906250	0.109375	22.906250	30.203125
88	29	105	29	31	21.296875	22.906250	0.000000	22.906250	21.343750
89	0	105	29	31	21.421875	22.906250	-0.046875	22.906250	21.343750
90	199	105	27	31	18.609375	22.906250	0.343750	22.906250	19.546875
91	135	0	16	37	7.781250	29.359375	2.281250	22.906250	10.656250
92	139	73	17	32	8.968750	23.687500	-0.046875	23.296875	8.890625
93	151	0	16	37	7.781250	29.359375	0.593750	22.906250	10.656250
97	131	198	24	25	15.578125	17.343750	1.140625	16.968750	17.796875
98	152	136	24	31	16.203125	23.281250	2.109375	22.906250	19.546875
99	107	198	24	25	15.656250	17.343750	1.328125	16.968750	17.796875
100	176	136	24	31	16.203125	23.281250	1.312500	22.906250	19.546875
101	203	198	24	25	15.593750	17.343750	1.015625	16.968750	17.796875
102	117	167	19	31	11.218750	23.296875	0.375000	23.296875	10.656250
103	50	73	24	32	16.187500	23.703125	1.312500	16.968750	19.546875
104	94	167	23	31	15.109375	22.906250	2.281250	22.906250	19.546875
105	192	167	12	31	4.390625	22.906250	2.296875	22.906250	8.890625
